# T_over_m,energy_density_FD
0.0015,1.1206248953794965e-295
0.0015061694282629688,1.7299781829342153e-294
0.001512364231089332,2.6409505075988933e-293
0.0015185845128434558,3.9869346603302544e-292
0.001524830378318951,5.952467818863838e-291
0.0015311019327404406,8.789291286638978e-290
0.0015373992817653305,1.2835985698510678e-288
0.0015437225314855912,1.8541410890563238e-287
0.0015500717884295437,2.649195818634721e-286
0.0015564471595636558,3.744230141871105e-285
0.0015628487522943416,5.2348902926743737e-284
0.0015692766744697755,7.240499275986439e-283
0.001575731034381703,9.907510727356253e-282
0.0015822119407672705,1.3412657772143033e-280
0.0015887195028108545,1.7965464989992638e-279
0.001595253830145902,2.3809726169758476e-278
0.0016018150328567763,3.1223499376982954e-277
0.0016084032214806127,4.051714397437757e-276
0.001615018507009181,5.202893212701144e-275
0.0016216610008907542,6.611781978745676e-274
0.0016283308150319873,8.315306688164983e-273
0.0016350280617998018,1.0350055743756506e-271
0.0016417528540232779,1.2750588660897348e-270
0.0016485053049955585,1.5547454550022578e-269
0.0016552855284757543,1.8764983194282927e-268
0.0016620936386908618,2.241894245422334e-267
0.0016689297503376885,2.6514185111154315e-266
0.0016757939785847836,3.104243297975275e-265
0.0016826864390743794,3.5980362945381686e-264
0.0016896072479243391,4.128816552504464e-263
0.0016965565217301134,4.6908739255297766e-262
0.0017035343775667039,5.276766231884167e-261
0.0017105409329906365,5.87740462794603e-260
0.0017175763060419415,6.482232703565027e-259
0.0017246406152461415,7.079498807642175e-258
0.0017317339796162506,7.656614514066122e-257
0.0017388565186547756,8.200585478818114e-256
0.0017460083523557332,8.69849480744645e-255
0.0017531896012066683,9.138014031855715e-254
0.0017604003861906867,9.507913402152945e-253
0.0017676408287884905,9.798541820761205e-252
0.0017749110509804272,1.0002247594795307e-250
0.0017822111752485434,1.0113714265669667e-249
0.0017895413245786482,1.0130190886956519e-248
0.0017969016224623857,1.0051602861285187e-247
0.0018042921928993147,9.880537256745134e-247
0.0018117131603989992,9.622104745024243e-246
0.0018191646499831047,9.283688247328543e-245
0.0018266467871875043,8.874595388563054e-244
0.0018341596980643948,8.405637396409927e-243
0.0018417035091844191,7.888660745616201e-242
0.0018492783476388,7.336059431555203e-241
0.0018568843410414792,6.760295251034219e-240
0.0018645216175312692,6.1734510495775135e-239
0.0018721903057740122,5.586837896396885e-238
0.0018798905349647439,5.010672016877195e-237
0.0018876224348298768,4.453831553180086e-236
0.0018953861356293788,3.923697347671333e-235
0.0019031817681589727,3.4260764195774315e-234
0.0019110094637523373,2.965202017591597e-233
0.0019188693542833203,2.5438003565436845e-232
0.0019267615721681604,2.1632115398085785e-231
0.001934686250367718,1.8235507667766063e-230
0.001942643522389715,1.5238956566867853e-229
0.0019506335222909843,1.2624862329288585e-228
0.0019586563846797286,1.0369255955024348e-227
0.001966712244717787,8.443713251368847e-227
0.0019748012381229124,6.817099699471188e-226
0.00198292350117106,5.4570934338758e-225
0.0019910791706986798,4.331456252593833e-224
0.0019992683841050245,3.4090426534246496e-223
0.0020074912793544624,2.6605534998495377e-222
0.0020157479949788042,2.0590536032004935e-221
0.002024038670079634,1.580281218389462e-220
0.002032363444330655,1.2027824607882976e-219
0.00204072245798004,9.079054595494048e-219
0.002049115851852798,6.796882963576586e-218
0.0020575437673531435,5.046721133806709e-217
0.002066006346466879,3.716668637478792e-216
0.0020745037317637894,2.714926052396685e-215
0.0020830360664000416,1.9671448520623362e-214
0.0020916034941205956,1.4138500013546167e-213
0.0021002061592616302,1.0080299122748907e-212
0.00210884420675297,7.129530916634724e-212
0.0021175177821205295,5.002421191545543e-211
0.0021262270314887652,3.482134679250695e-210
0.0021349721015831353,2.404756309272152e-209
0.002143753139732573,1.6476725686844214e-208
0.002152570293871969,1.1201060735342512e-207
0.002161423712544663,7.555266860193854e-207
0.0021703135449049455,5.056579466842088e-206
0.0021792399407205725,3.3581039391042816e-205
0.002188203050375287,2.2129700736059024e-204
0.0021972030248713537,1.4471543011641624e-203
0.002206240015832101,9.39130090876947e-203
0.0022153141755044794,6.048141713151791e-202
0.002224425656761621,3.8656013004815735e-201
0.0022335746131054196,2.4520234086669495e-200
0.0022427611986691144,1.5436829843966558e-199
0.0022519855682198867,9.645639290057301e-199
0.0022612478771614694,5.982141733788265e-198
0.0022705482815367616,3.6825486497589216e-197
0.00227988693803046,2.2501925178824893e-196
0.002289264003971699,1.364845427274773e-195
0.0022986796373366987,8.21775211693877e-195
0.0023081339967514296,4.9118092287793e-194
0.002317627241494281,2.914485418986895e-193
0.0023271595314987483,1.7168297380333462e-192
0.0023367310273561255,1.0040387164017189e-191
0.00234634189031821,5.829676805676035e-191
0.002355992282300021,3.360641013021813e-190
0.0023656823658825266,1.923517673664167e-189
0.0023754123043153814,1.0931490594409239e-188
0.002385182261519679,6.168568855444898e-188
0.0023949924020907135,3.456399254559162e-187
0.0024048428913007493,1.9231378627989083e-186
